"all _ image _ url","Event Date - parsed","User","Latitude","Longitude","Occurrence status assumed to be present","Coordinate precision not valid","Country inferred from coordinates","Coordinates derived from verbatim coordinates","Coordinates converted to WGS84","First of the month","First of the year","Geodetic datum assumed WGS84","Habitat incorrect for species","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Coordinates are transposed","Collector name unparseable","Coordinate uncertainty not valid"
"3451452d-30cb-4026-8f2e-b4bb56b8662a","2018-06-16","","-36.1","150.0","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"19d5a57d-8273-4f1b-b8d2-3d426377e4ec","2019-06-16","reiner","-38.5515291344","143.7473000596","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"91c7d3ad-1ee4-4f23-bf30-3127aa5ae280","2015-06-21","","-38.369444","146.385833","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"b6dcc562-e4fd-40a0-bd62-7651a82fa57f","2018-06-13","numbat","-36.663785","149.988742","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"2faa1a91-02f2-4f36-99e6-1223058fed3b","2019-06-04","jiggy","-35.3436126709","149.2458343506","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"33573e32-dfad-4922-a7c2-2fc7c0f59e78","2018-06-03","cobaltducks","-35.1432135837","138.5834332148","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"70db034b-859c-49e9-bda9-2214f7d5835a","2020-06-09","jotrudy","-33.3963215515","149.6052786257","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"8b2b650a-f9f8-419f-a459-18ad768ff855","2020-06-11","jennyghct","-37.3204597479","146.5059175619","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"","2003-06-06","","-37.73","145.22","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","2019-06-20","","-36.673466","149.960726","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"22a55689-7fca-45e1-bde3-cb291c9b1b6e","2019-06-08","reiner","-37.8998535808","145.5755097114","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"527bfa02-1515-4a8a-bd6c-67f08ac1a9cb","2019-06-17","deborod","-35.3147966667","149.159525","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"6f04fb94-60f0-4753-a578-7b3c6cddc5ed","2017-06-03","patriciadaly","-36.67268","149.8275","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"1ac07f38-b6f0-49d3-9420-69e676388b0c","2018-06-09","russ87","-37.577","143.844","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
